route_id,stop_ids
002A,"['S5624', 'S3975', 'S3974', 'S5627', 'S5628', 'S5629', 'S1069', 'S5631']"
002B,"['S5635', 'S1189', 'S3989', 'S3986', 'S1188', 'S1187', 'S5641', 'S5642', 'S5644']"
003A,"['S5784', 'S5785', 'S5786', 'S5788', 'S5789', 'S5790', 'S5791', 'S5793', 'S5794', 'S5795', 'S5796']"
003B,"['S5800', 'S5801', 'S5802', 'S5803', 'S5805', 'S5807']"
004A,"['S5904', 'S5905', 'S5906', 'S719', 'S5908']"
004B,"['S5912', 'S684']"
005A,"['S2', 'S3', 'S4', 'S5', 'S6']"
005B,"['S10', 'S11', 'S12', 'S13', 'S14', 'S15', 'S17', 'S19']"
006A,"['S6095', 'S6097', 'S6098', 'S6099', 'S6100', 'S3630', 'S6102', 'S6104', 'S6105']"
006B,"['S6109', 'S6110', 'S6111', 'S6112', 'S6113', 'S6115', 'S6116', 'S6117', 'S732', 'S684']"
007A,"['S6144', 'S696', 'S700']"
007B,"['S6150', 'S6151', 'S6153', 'S6155', 'S19', 'S3730']"
008A,"['S6162', 'S6164', 'S6164', 'S6165', 'S6166', 'S6167', 'S725', 'S726']"
008B,"['S5912', 'S6173', 'S6174']"
009A,"['S5435', 'S415', 'S417', 'S630', 'S6184', 'S346', 'S6186', 'S6188', 'S635', 'S6190', 'S6191', 'S6192', 'S6194', 'S6195', 'S6196', 'S6197', 'S6198', 'S6200', 'S6201', 'S6202']"
009B,"['S6206', 'S6207', 'S6208', 'S352', 'S6211', 'S6001', 'S5357']"
010A,"['S6219', 'S415', 'S629']"
010B,"['S14', 'S15', 'S380', 'S6229', 'S6231']"
011A,"['S5870', 'S5260', 'S6238', 'S6240', 'S216']"
011B,"['S6246', 'S6247']"
012A,"['S1530', 'S5259', 'S5260', 'S5262', 'S5263', 'S1527', 'S216']"
012B,"['S5269', 'S5271', 'S32', 'S1535', 'S34']"
013A,"['S5279', 'S1530', 'S1527', 'S5283']"
013B,"['S5288', 'S5289', 'S5290', 'S5291', 'S1535']"
014A,"['S853', 'S5300', 'S216', 'S254']"
014B,"['S5310', 'S5312', 'S5314', 'S5315', 'S1370', 'S5318', 'S5320', 'S5321', 'S5323']"
015A,"['S5327', 'S5328', 'S5188', 'S5331', 'S5332', 'S3284', 'S5335', 'S5336', 'S5337', 'S5338', 'S5339', 'S5340', 'S5341', 'S5342']"
015B,"['S5346', 'S5347', 'S5078', 'S5349', 'S3288', 'S5246', 'S5246', 'S5249', 'S5355', 'S5356', 'S5357']"
016A,"['S5361', 'S5362', 'S415', 'S417', 'S5368', 'S345']"
016B,"['S352', 'S5375', 'S14', 'S5378', 'S380', 'S384', 'S5382', 'S5384']"
017A,"['S5389', 'S3751', 'S5392', 'S4189', 'S3565', 'S4190', 'S5398', 'S5400', 'S5401', 'S99', 'S5403', 'S5404', 'S102', 'S5407']"
017B,"['S879', 'S880', 'S3040']"
018A,"['S2823', 'S5416', 'S5417', 'S904', 'S5419', 'S5420', 'S5007', 'S99', 'S5423', 'S5424']"
018B,"['S4179', 'S3760', 'S880', 'S881']"
019A,"['S5435', 'S5435', 'S414', 'S415', 'S630', 'S5441', 'S346', 'S635']"
019B,"['S5448', 'S5449', 'S5450', 'S352', 'S15', 'S5357']"
020A,"['S5460', 'S5260', 'S465', 'S5283', 'S217', 'S205', 'S206', 'S5468']"
020B,"['S229', 'S5473', 'S5474', 'S241', 'S5476', 'S5478', 'S5479']"
021A,"['S5480', 'S5482', 'S5483', 'S5485', 'S5331', 'S5487', 'S574', 'S3284', 'S5491', 'S5492', 'S5338']"
021B,"['S5338', 'S5496', 'S5246', 'S5382', 'S5502', 'S5356', 'S5505']"
