route_id,name,distance_km
002A,37 Lorry Park to Osu Blow Up,3.966941305204266
002B,Osu Blow Up to 37 Lorry Park,3.966941305204266
003A,37 Lorry Park to Tse Addo,4.556766194583605
003B,Tse Addo to 37 Lorry Park,4.556766194583605
004A,Abeka lapaz to Ashaiman Station,25.343252571344014
004B,Ashiaman Station to Abeka lapaz,24.318201598425635
005A,Abeka lapaz to Ashalaja,14.636150613759828
005B,Ashalaja to Abeka lapaz,14.636150613759828
006A,Abeka lapaz to Sakumono station,19.72130058748391
006B,Sakumono station to Abeka lapaz,19.72130058748391
007A,Abeka lapaz to Taifa Station,5.668225856117587
007B,Taifa Station to Abeka lapaz,5.668225856117587
008A,Abeka lapaz to Tema Main Habour Round About,27.987915602861364
008B,008B,6.230995527456134
009A,Abeka lapaz to Adeiman,17.894503245175965
009B,Adeiman to Abeka lapaz,17.894503245175965
010A,Abeka lapaz to Amasaman,12.25129016000559
010B,Amasaman to Abeka lapaz,12.25129016000559
011A,Abeka lapaz to Circle,4.299368739260845
011B,Circle to Abeka lapaz,5.4604432231595
012A,Abeka lapaz to Circle Opps. Vodafone,5.169143481554987
012B,Alajo Station to Abeka lapaz,3.412967715668611
013A,Abeka lapaz to Circle,5.4604432231595
013B,Lido Terminal (Circle Overhead) to G,4.536185517877396
014A,Abeka lapaz to Circle,5.4604432231595
014B,Accra CMB to Abeka lapaz,7.30442109894794
015A,Abeka lapaz to D.K. Last stop,9.814675819170679
015B,Kwabenya to Abeka lapaz,9.585985117662853
016A,Abeka lapaz to Sarpeiman,14.278002416963716
016B,Sarpeiman to Abeka lapaz,14.278002416963716
017A,017A,21.082910195066766
017B,017B,20.905945508333854
018A,Abeka lapaz to Kasoa Station,21.154913468545715
018B,Kasoa Station to Abeka lapaz,21.154913468545715
019A,Abeka lapaz to Kotoku Terminal,19.117866796330063
019B,Kotoku Terminal to Abeka lapaz,19.117866796330063
020A,020A,6.328834241399334
020B,020B,6.514132145878575
021A,021A,5.55420426487334
021B,021B,7.603473625050753
023A,Abeka lapaz to Nungua Station,18.573706244140745
023B,Sakumono station to Abeka lapaz,19.72130058748391
026A,Accra UTC Taxi Rank to Abeka Station near Market,6.78128826665623
026B,Abeka Market station to Rawlings Park,6.989843846811641
028A,Circle Near Las Palmas (PROTOA) to Abeka Station,4.15432370993089
028B,Abeka Market station to Circle Near Las Palmas (PROTOA),4.084410745649267
029A,Abeka Market station to Kaneshie Mkt Cmplx,3.9390156939416356
029B,Kaneshie Mkt Cmplx to Abeka Market station,3.9390156939416356
030A,Abeka Market station to Mallam Atta Station,3.8768280664091614
030B,Mallam Atta Station to Abeka Main Markt,4.952239465290799
031A,Abeka lapaz to 37 Station,7.723201871833482
031B,031B,0.8766251954623591
035A,Abeka lapaz to Agape Station,9.143628492070155
035B,Agape Station to Abeka lapaz,9.143628492070155
036A,Abeka lapaz to Agbogbloshie Station No. 2,6.894373929360804
036B,Agbogbloshie Station No. 2 to Abeka lapaz,6.894373929360804
038A,038A,12.166554735061455
038B,Amasaman to Abeka lapaz,12.25129016000559
039A,Nyamekye to Aunti Eku Pallas Town,3.057134501466414
039B,Aunti Eku Pallas Town to Abeka lapaz,4.184603292437969
040A,Abeka lapaz to Ashaiman Station,25.343252571344014
040B,Ashiaman Station to Abeka lapaz,24.318201598425635
041A,Abeka lapaz to Asofan Station,6.724319115781823
041B,Asofan Station to Abeka lapaz,6.724319115781823
043A,Abeka lapaz to Kaneshie Mkt Cmplx,4.865173922391012
043B,Kaneshie Mkt Cmplx to Abeka lapaz,4.865173922391012
044A,Abeka lapaz to Dome,6.039010738245258
044B,Dome to Abeka lapaz,6.039010738245258
046A,Kaneshie Mkt Cmplx to Abeka lapaz,4.865173922391012
046B,Abeka lapaz to Kaneshie Mkt Cmplx,4.865173922391012
048A,Abeka lapaz to Korle Bu Station,8.070290629847015
048B,Korle Bu Station to Abeka lapaz,8.070290629847015
050A,Abeka lapaz to Gbawe Station,7.719864819624949
050B,Gbawe Station to Abeka lapaz,7.719864819624949
051A,Lapaz Station-Mahean Afuaman to Mahean Station,4.350597772308667
051B,Mahean Station to Abeka lapaz,12.152520889270368
052A,Abeka lapaz to Mayera last stop,14.46430197179005
052B,Mayera last stop to Abeka lapaz,14.46430197179005
055A,Abeka lapaz to Osu Blow Up,9.184586077178402
055B,Osu Blow Up to Abeka lapaz,9.184586077178402
056A,Abeka lapaz to Race Course,2.725014680394073
056B,Race Course to Abeka lapaz,2.725014680394073
058A,Abeka lapaz to Sotuom VRA,6.2242862102719805
058B,058B,5.693165465782154
061A,Abelemkpe Station to Accra New Tema Station,6.784323234397421
061B,Accra New Tema Station to Abelemkpe Station,6.784323234397421
064A,Abossey Okai Camara Station to Kasoa Station,20.964409059952736
