stop_id,name,latitude,longitude,suburb_id
T0,Terminal Abeka lapaz,5.607404709,-0.247031561,
T75,Terminal Kaneshie Mkt Cmplx,5.565071583,-0.235920743,18
T136,Terminal Nima Overhead Station,5.581369877,-0.198538361,37
T251,Terminal Achimota Station,5.620789051,-0.225836575,39
T244,Terminal Accra New Tema Station,5.548629284,-0.201708591,41
T113,Terminal Accra CMB,5.551083565,-0.213060333,5
T1043,Terminal Circle,5.569321632,-0.215880743,12
T232,Terminal Achimota,5.62116909,-0.226021721,39
T1206,Terminal Circle Odorna Station,5.569590092,-0.216475374,12
T211,Terminal Dansoman Laststop,5.530091286,-0.265222819,47
T2838,Terminal Kwashieman Station,5.592288971,-0.268182999,42
T2497,Terminal Korle Bu Station,5.536646366,-0.230805472,50
T470,Terminal Kotobabi Down Station,5.595905304,-0.20917065,26
T534,Terminal Madina Station,5.676415443,-0.172070531,38
T1099,Terminal Odorkor Station,5.581016064,-0.263733534,30
T103,Terminal Kasoa Station,5.534622192,-0.423644153,41
T1442,Terminal Osu Blow Up,5.553462029,-0.1841815,6
T2616,Terminal New Town Station,5.58536005,-0.207974233,41
T54,Terminal Agbogbloshie Station No. 2,5.551598549,-0.219884539,5
T3099,Terminal Rawlings Park,5.545661449,-0.207563846,5
T4715,Terminal Zamrara Line,5.549542427,-0.257399668,16
T679,Terminal Ashaiman Station,5.686895847,-0.032383917,53
T1081,Terminal Arena Station,5.545394897,-0.215963999,41
T883,Terminal Agbogbloshie Station,5.549630165,-0.217147453,
T118,Terminal Darkuman Station,5.587757111,-0.251448358,
T132,Terminal Orgle Road Station,5.584671021,-0.235117199,
T288,Terminal Adenta Station,5.704474449,-0.16778689,
T1146,Terminal Accra Post Office,5.541462421,-0.209251447,
T4557,Terminal Salaga Station,5.540164948,-0.209948,
T953,Terminal Russia,5.554395199,-0.253545001,
T994,Terminal Camara Station,5.536543846,-0.255284004,
T2404,Terminal Sukura Station,5.550503731,-0.250045249,
T2470,Terminal Kaneshie Mamprobi Station,5.564277649,-0.236104624,
T768,Terminal Nungua Station,5.602173805,-0.079274124,
T4259,Terminal Opetekwei Station,5.527601242,-0.273740627,
T865,Terminal Sowutuom Station,5.623772621,-0.282839373,
T497,Terminal Legon Station,5.64910984,-0.179331143,
T1044,Terminal Circle Lido,5.571080208,-0.213558146,
T4977,Terminal Zongo Junction,5.555878639,-0.240145856,
T1957,Terminal Mallam Station,5.575174332,-0.289693143,
T1028,Terminal Alajo Taxi Rank,5.595699787,-0.216952669,
T2880,Terminal 37 Station,5.588881493,-0.179769852,
T1416,Terminal UTC Station,5.56860733,-0.215996285,
T745,Terminal Tema Main Station,5.645395756,0.001625286,
T893,Terminal Chemuna Station,5.526189804,-0.250590857,
T3443,Terminal Pig Farm Station,5.598026752,-0.198444004,
T1328,Terminal Abelemkpe Station,5.607460022,-0.217957,
T2062,Terminal Santa Maria,5.60525322,-0.275816669,
T2086,Terminal New Tema Station,5.548520088,-0.201551666,
T21,Terminal Abeka Market station,5.600393295,-0.238629167,
T4006,Terminal Odorna Station,5.567151546,-0.217135333,
T4238,Terminal Okponglo Taxi Station,5.640751839,-0.176294001,
T894,Terminal Chorkor Station,5.526236534,-0.250576839,
T2187,Terminal Dzorwulu Station,5.617263317,-0.194658332,
T2431,Terminal Soko Station,5.545176029,-0.252091599,
T212,Terminal Agege,5.529476643,-0.263656164,
T1601,Terminal Maamobi-Nima Terminal,5.593272209,-0.194974002,
T1467,Terminal Circle Coporative Station,5.56891489,-0.214871749,
T1325,Terminal Circle Opps. Vodafone,5.572797775,-0.215844199,
T448,Terminal Israel Station,5.631155968,-0.268824601,
T28,Terminal Mallam Atta Station,5.582009792,-0.208862802,
T680,Terminal Ashiaman Station,5.682084084,-0.040476601,
T2688,Terminal New Fadama,5.599358082,-0.248018,
